dod_final.panel,dod_final.unit_num,dod_final.stub_label,dod_final.year,dod_final.age,dod_final.estimate,dod_final.gender,dod_final.cause_of_death,dod_final.age_code
All drug overdose deaths,2,Female: 15-24 years,2016,15-24 years,7.0,Female,All,2
All drug overdose deaths,2,Female: 15-24 years,2017,15-24 years,7.9,Female,All,2
All drug overdose deaths,2,Female: 25-34 years,1999,25-34 years,4.6,Female,All,3
All drug overdose deaths,2,Female: 25-34 years,2000,25-34 years,4.6,Female,All,3
All drug overdose deaths,2,Female: 25-34 years,2001,25-34 years,5.2,Female,All,3
All drug overdose deaths,2,Female: 25-34 years,2002,25-34 years,6.2,Female,All,3
All drug overdose deaths,2,Female: 25-34 years,2003,25-34 years,7.1,Female,All,3
All drug overdose deaths,2,Female: 25-34 years,2004,25-34 years,7.2,Female,All,3
All drug overdose deaths,2,Female: 25-34 years,2005,25-34 years,8.5,Female,All,3
All drug overdose deaths,2,Female: 25-34 years,2006,25-34 years,9.5,Female,All,3
All drug overdose deaths,2,Female: 25-34 years,2007,25-34 years,10.1,Female,All,3
All drug overdose deaths,2,Female: 25-34 years,2008,25-34 years,9.9,Female,All,3
All drug overdose deaths,2,Female: 25-34 years,2009,25-34 years,10.4,Female,All,3
All drug overdose deaths,2,Female: 25-34 years,2010,25-34 years,11.9,Female,All,3
All drug overdose deaths,2,Female: 25-34 years,2011,25-34 years,12.8,Female,All,3
All drug overdose deaths,2,Female: 25-34 years,2012,25-34 years,13.1,Female,All,3
All drug overdose deaths,2,Female: 25-34 years,2013,25-34 years,13.0,Female,All,3
All drug overdose deaths,2,Female: 25-34 years,2014,25-34 years,14.1,Female,All,3
All drug overdose deaths,2,Female: 25-34 years,2015,25-34 years,15.7,Female,All,3
All drug overdose deaths,2,Female: 25-34 years,2016,25-34 years,19.9,Female,All,3
All drug overdose deaths,2,Female: 25-34 years,2017,25-34 years,22.0,Female,All,3
All drug overdose deaths,2,Female: 35-44 years,1999,35-44 years,8.7,Female,All,4
All drug overdose deaths,2,Female: 35-44 years,2000,35-44 years,9.2,Female,All,4
All drug overdose deaths,2,Female: 35-44 years,2001,35-44 years,10.4,Female,All,4
All drug overdose deaths,2,Female: 35-44 years,2002,35-44 years,12.8,Female,All,4
All drug overdose deaths,2,Female: 35-44 years,2003,35-44 years,13.7,Female,All,4
All drug overdose deaths,2,Female: 35-44 years,2004,35-44 years,14.8,Female,All,4
All drug overdose deaths,2,Female: 35-44 years,2005,35-44 years,14.8,Female,All,4
All drug overdose deaths,2,Female: 35-44 years,2006,35-44 years,15.9,Female,All,4
All drug overdose deaths,2,Female: 35-44 years,2007,35-44 years,16.1,Female,All,4
All drug overdose deaths,2,Female: 35-44 years,2008,35-44 years,16.5,Female,All,4
All drug overdose deaths,2,Female: 35-44 years,2009,35-44 years,16.0,Female,All,4
All drug overdose deaths,2,Female: 35-44 years,2010,35-44 years,16.8,Female,All,4
All drug overdose deaths,2,Female: 35-44 years,2011,35-44 years,18.2,Female,All,4
All drug overdose deaths,2,Female: 35-44 years,2012,35-44 years,17.1,Female,All,4
All drug overdose deaths,2,Female: 35-44 years,2013,35-44 years,18.0,Female,All,4
All drug overdose deaths,2,Female: 35-44 years,2014,35-44 years,19.2,Female,All,4
All drug overdose deaths,2,Female: 35-44 years,2015,35-44 years,20.5,Female,All,4
All drug overdose deaths,2,Female: 35-44 years,2016,35-44 years,23.3,Female,All,4
All drug overdose deaths,2,Female: 35-44 years,2017,35-44 years,25.1,Female,All,4
All drug overdose deaths,2,Female: 45-54 years,1999,45-54 years,7.2,Female,All,5
All drug overdose deaths,2,Female: 45-54 years,2000,45-54 years,7.7,Female,All,5
All drug overdose deaths,2,Female: 45-54 years,2001,45-54 years,9.1,Female,All,5
All drug overdose deaths,2,Female: 45-54 years,2002,45-54 years,12.2,Female,All,5
All drug overdose deaths,2,Female: 45-54 years,2003,45-54 years,13.5,Female,All,5
All drug overdose deaths,2,Female: 45-54 years,2004,45-54 years,15.0,Female,All,5
All drug overdose deaths,2,Female: 45-54 years,2005,45-54 years,16.5,Female,All,5
All drug overdose deaths,2,Female: 45-54 years,2006,45-54 years,18.6,Female,All,5
All drug overdose deaths,2,Female: 45-54 years,2007,45-54 years,21.0,Female,All,5
All drug overdose deaths,2,Female: 45-54 years,2008,45-54 years,21.0,Female,All,5
All drug overdose deaths,2,Female: 45-54 years,2009,45-54 years,21.8,Female,All,5
All drug overdose deaths,2,Female: 45-54 years,2010,45-54 years,21.8,Female,All,5
All drug overdose deaths,2,Female: 45-54 years,2011,45-54 years,23.1,Female,All,5
All drug overdose deaths,2,Female: 45-54 years,2012,45-54 years,23.4,Female,All,5
All drug overdose deaths,2,Female: 45-54 years,2013,45-54 years,23.6,Female,All,5
All drug overdose deaths,2,Female: 45-54 years,2014,45-54 years,23.7,Female,All,5
All drug overdose deaths,2,Female: 45-54 years,2015,45-54 years,24.9,Female,All,5
All drug overdose deaths,2,Female: 45-54 years,2016,45-54 years,26.7,Female,All,5
All drug overdose deaths,2,Female: 45-54 years,2017,45-54 years,27.5,Female,All,5
All drug overdose deaths,2,Female: 55-64 years,1999,55-64 years,3.5,Female,All,6
All drug overdose deaths,2,Female: 55-64 years,2000,55-64 years,3.9,Female,All,6
All drug overdose deaths,2,Female: 55-64 years,2001,55-64 years,4.2,Female,All,6
All drug overdose deaths,2,Female: 55-64 years,2002,55-64 years,5.2,Female,All,6
All drug overdose deaths,2,Female: 55-64 years,2003,55-64 years,6.1,Female,All,6
All drug overdose deaths,2,Female: 55-64 years,2004,55-64 years,7.0,Female,All,6
All drug overdose deaths,2,Female: 55-64 years,2005,55-64 years,7.5,Female,All,6
All drug overdose deaths,2,Female: 55-64 years,2006,55-64 years,8.8,Female,All,6
All drug overdose deaths,2,Female: 55-64 years,2007,55-64 years,10.5,Female,All,6
All drug overdose deaths,2,Female: 55-64 years,2008,55-64 years,11.1,Female,All,6
All drug overdose deaths,2,Female: 55-64 years,2009,55-64 years,11.6,Female,All,6
All drug overdose deaths,2,Female: 55-64 years,2010,55-64 years,12.9,Female,All,6
All drug overdose deaths,2,Female: 55-64 years,2011,55-64 years,13.5,Female,All,6
All drug overdose deaths,2,Female: 55-64 years,2012,55-64 years,14.0,Female,All,6
All drug overdose deaths,2,Female: 55-64 years,2013,55-64 years,15.9,Female,All,6
All drug overdose deaths,2,Female: 55-64 years,2014,55-64 years,17.2,Female,All,6
All drug overdose deaths,2,Female: 55-64 years,2015,55-64 years,17.6,Female,All,6
All drug overdose deaths,2,Female: 55-64 years,2016,55-64 years,19.5,Female,All,6
All drug overdose deaths,2,Female: 55-64 years,2017,55-64 years,20.3,Female,All,6
All drug overdose deaths,2,Female: 65-74 years,1999,65-74 years,2.1,Female,All,7
All drug overdose deaths,2,Female: 65-74 years,2000,65-74 years,2.0,Female,All,7
All drug overdose deaths,2,Female: 65-74 years,2001,65-74 years,2.2,Female,All,7
All drug overdose deaths,2,Female: 65-74 years,2002,65-74 years,2.8,Female,All,7
All drug overdose deaths,2,Female: 65-74 years,2003,65-74 years,2.9,Female,All,7
All drug overdose deaths,2,Female: 65-74 years,2004,65-74 years,3.0,Female,All,7
All drug overdose deaths,2,Female: 65-74 years,2005,65-74 years,3.1,Female,All,7
All drug overdose deaths,2,Female: 65-74 years,2006,65-74 years,3.6,Female,All,7
All drug overdose deaths,2,Female: 65-74 years,2007,65-74 years,3.7,Female,All,7
All drug overdose deaths,2,Female: 65-74 years,2008,65-74 years,4.4,Female,All,7
All drug overdose deaths,2,Female: 65-74 years,2009,65-74 years,4.6,Female,All,7
All drug overdose deaths,2,Female: 65-74 years,2010,65-74 years,4.8,Female,All,7
All drug overdose deaths,2,Female: 65-74 years,2011,65-74 years,5.3,Female,All,7
All drug overdose deaths,2,Female: 65-74 years,2012,65-74 years,5.5,Female,All,7
All drug overdose deaths,2,Female: 65-74 years,2013,65-74 years,5.9,Female,All,7
All drug overdose deaths,2,Female: 65-74 years,2014,65-74 years,6.5,Female,All,7
All drug overdose deaths,2,Female: 65-74 years,2015,65-74 years,6.1,Female,All,7
All drug overdose deaths,2,Female: 65-74 years,2016,65-74 years,6.5,Female,All,7
All drug overdose deaths,2,Female: 65-74 years,2017,65-74 years,7.0,Female,All,7
All drug overdose deaths,2,Female: 75-84 years,1999,75-84 years,3.0,Female,All,8
All drug overdose deaths,2,Female: 75-84 years,2000,75-84 years,2.3,Female,All,8
All drug overdose deaths,2,Female: 75-84 years,2001,75-84 years,2.4,Female,All,8
All drug overdose deaths,2,Female: 75-84 years,2002,75-84 years,2.6,Female,All,8
All drug overdose deaths,2,Female: 75-84 years,2003,75-84 years,2.6,Female,All,8
All drug overdose deaths,2,Female: 75-84 years,2004,75-84 years,2.9,Female,All,8
All drug overdose deaths,2,Female: 75-84 years,2005,75-84 years,2.9,Female,All,8
All drug overdose deaths,2,Female: 75-84 years,2006,75-84 years,3.3,Female,All,8
All drug overdose deaths,2,Female: 75-84 years,2007,75-84 years,3.2,Female,All,8
All drug overdose deaths,2,Female: 75-84 years,2008,75-84 years,3.3,Female,All,8
All drug overdose deaths,2,Female: 75-84 years,2009,75-84 years,3.9,Female,All,8
All drug overdose deaths,2,Female: 75-84 years,2010,75-84 years,3.3,Female,All,8
All drug overdose deaths,2,Female: 75-84 years,2011,75-84 years,3.4,Female,All,8
All drug overdose deaths,2,Female: 75-84 years,2012,75-84 years,3.5,Female,All,8
All drug overdose deaths,2,Female: 75-84 years,2013,75-84 years,3.4,Female,All,8
All drug overdose deaths,2,Female: 75-84 years,2014,75-84 years,3.5,Female,All,8
All drug overdose deaths,2,Female: 75-84 years,2015,75-84 years,3.3,Female,All,8
All drug overdose deaths,2,Female: 75-84 years,2016,75-84 years,3.2,Female,All,8
All drug overdose deaths,2,Female: 75-84 years,2017,75-84 years,3.5,Female,All,8
All drug overdose deaths,2,Female: 85 years and over,1999,85 years and over,3.5,Female,All,9
All drug overdose deaths,2,Female: 85 years and over,2000,85 years and over,3.9,Female,All,9
All drug overdose deaths,2,Female: 85 years and over,2001,85 years and over,3.7,Female,All,9
All drug overdose deaths,2,Female: 85 years and over,2002,85 years and over,3.9,Female,All,9
All drug overdose deaths,2,Female: 85 years and over,2003,85 years and over,3.8,Female,All,9
All drug overdose deaths,2,Female: 85 years and over,2004,85 years and over,3.7,Female,All,9
All drug overdose deaths,2,Female: 85 years and over,2005,85 years and over,3.7,Female,All,9
All drug overdose deaths,2,Female: 85 years and over,2006,85 years and over,4.2,Female,All,9
All drug overdose deaths,2,Female: 85 years and over,2007,85 years and over,4.3,Female,All,9
All drug overdose deaths,2,Female: 85 years and over,2008,85 years and over,4.0,Female,All,9
All drug overdose deaths,2,Female: 85 years and over,2009,85 years and over,3.9,Female,All,9
All drug overdose deaths,2,Female: 85 years and over,2010,85 years and over,4.5,Female,All,9
All drug overdose deaths,2,Female: 85 years and over,2011,85 years and over,4.2,Female,All,9
All drug overdose deaths,2,Female: 85 years and over,2012,85 years and over,3.8,Female,All,9
All drug overdose deaths,2,Female: 85 years and over,2013,85 years and over,3.5,Female,All,9
All drug overdose deaths,2,Female: 85 years and over,2014,85 years and over,4.0,Female,All,9
All drug overdose deaths,2,Female: 85 years and over,2015,85 years and over,4.1,Female,All,9
All drug overdose deaths,2,Female: 85 years and over,2016,85 years and over,3.6,Female,All,9
All drug overdose deaths,2,Female: 85 years and over,2017,85 years and over,3.8,Female,All,9
Drug overdose deaths involving any opioid,1,All persons,1999,All ages,2.9,All,Opioid,0
Drug overdose deaths involving any opioid,1,All persons,2000,All ages,3.0,All,Opioid,0
Drug overdose deaths involving any opioid,1,All persons,2001,All ages,3.3,All,Opioid,0
Drug overdose deaths involving any opioid,1,All persons,2002,All ages,4.1,All,Opioid,0
Drug overdose deaths involving any opioid,1,All persons,2003,All ages,4.5,All,Opioid,0
Drug overdose deaths involving any opioid,1,All persons,2004,All ages,4.7,All,Opioid,0
Drug overdose deaths involving any opioid,1,All persons,2005,All ages,5.1,All,Opioid,0
Drug overdose deaths involving any opioid,1,All persons,2006,All ages,5.9,All,Opioid,0
Drug overdose deaths involving any opioid,1,All persons,2007,All ages,6.1,All,Opioid,0
Drug overdose deaths involving any opioid,1,All persons,2008,All ages,6.4,All,Opioid,0
Drug overdose deaths involving any opioid,1,All persons,2009,All ages,6.6,All,Opioid,0
Drug overdose deaths involving any opioid,1,All persons,2010,All ages,6.8,All,Opioid,0
Drug overdose deaths involving any opioid,1,All persons,2011,All ages,7.3,All,Opioid,0
Drug overdose deaths involving any opioid,1,All persons,2012,All ages,7.4,All,Opioid,0
Drug overdose deaths involving any opioid,1,All persons,2013,All ages,7.9,All,Opioid,0
Drug overdose deaths involving any opioid,1,All persons,2014,All ages,9.0,All,Opioid,0
Drug overdose deaths involving any opioid,1,All persons,2015,All ages,10.4,All,Opioid,0
Drug overdose deaths involving any opioid,1,All persons,2016,All ages,13.3,All,Opioid,0
Drug overdose deaths involving any opioid,1,All persons,2017,All ages,14.9,All,Opioid,0
Drug overdose deaths involving any opioid,1,Male,1999,All ages,4.3,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male,2000,All ages,4.4,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male,2001,All ages,4.8,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male,2002,All ages,5.7,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male,2003,All ages,6.1,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male,2004,All ages,6.3,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male,2005,All ages,6.6,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male,2006,All ages,7.8,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male,2007,All ages,8.0,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male,2008,All ages,8.4,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male,2009,All ages,8.7,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male,2010,All ages,8.7,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male,2011,All ages,9.4,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male,2012,All ages,9.5,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male,2013,All ages,10.2,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male,2014,All ages,11.7,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male,2015,All ages,13.7,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male,2016,All ages,18.1,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male,2017,All ages,20.4,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Female,1999,All ages,1.4,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female,2000,All ages,1.6,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female,2001,All ages,1.9,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female,2002,All ages,2.6,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female,2003,All ages,2.8,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female,2004,All ages,3.1,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female,2005,All ages,3.4,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female,2006,All ages,3.9,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female,2007,All ages,4.3,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female,2008,All ages,4.4,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female,2009,All ages,4.6,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female,2010,All ages,4.9,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female,2011,All ages,5.2,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female,2012,All ages,5.3,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female,2013,All ages,5.6,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female,2014,All ages,6.3,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female,2015,All ages,7.1,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female,2016,All ages,8.5,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female,2017,All ages,9.4,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Male: White,1999,All ages,4.4,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: White,2000,All ages,4.5,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: White,2001,All ages,5.0,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: White,2002,All ages,6.1,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: White,2003,All ages,6.7,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: White,2004,All ages,7.0,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: White,2005,All ages,7.4,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: White,2006,All ages,8.7,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: White,2007,All ages,9.1,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: White,2008,All ages,9.7,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: White,2009,All ages,9.9,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: White,2010,All ages,10.1,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: White,2011,All ages,10.8,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: White,2012,All ages,11.0,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: White,2013,All ages,11.7,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: White,2014,All ages,13.4,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: White,2015,All ages,15.8,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: White,2016,All ages,20.4,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: White,2017,All ages,22.7,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: White,2018,All ages,22.0,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: Black or African American,1999,All ages,5.7,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: Black or African American,2000,All ages,5.6,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: Black or African American,2001,All ages,5.3,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: Black or African American,2002,All ages,5.3,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: Black or African American,2003,All ages,5.0,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: Black or African American,2004,All ages,4.4,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: Black or African American,2005,All ages,4.8,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: Black or African American,2006,All ages,6.0,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: Black or African American,2007,All ages,4.6,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: Black or African American,2008,All ages,4.5,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: Black or African American,2009,All ages,4.7,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: Black or African American,2010,All ages,4.1,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: Black or African American,2011,All ages,4.7,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: Black or African American,2012,All ages,5.1,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: Black or African American,2013,All ages,6.3,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: Black or African American,2014,All ages,7.4,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: Black or African American,2015,All ages,9.1,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: Black or African American,2016,All ages,14.7,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: Black or African American,2017,All ages,18.7,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: Black or African American,2018,All ages,20.6,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: American Indian or Alaska Native,1999,All ages,3.2,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: American Indian or Alaska Native,2000,All ages,3.4,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: American Indian or Alaska Native,2001,All ages,3.0,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: American Indian or Alaska Native,2002,All ages,4.4,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: American Indian or Alaska Native,2003,All ages,5.1,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: American Indian or Alaska Native,2004,All ages,6.2,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: American Indian or Alaska Native,2005,All ages,5.7,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: American Indian or Alaska Native,2006,All ages,6.9,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: American Indian or Alaska Native,2007,All ages,5.8,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: American Indian or Alaska Native,2008,All ages,8.0,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: American Indian or Alaska Native,2009,All ages,10.0,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: American Indian or Alaska Native,2010,All ages,6.3,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: American Indian or Alaska Native,2011,All ages,7.2,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: American Indian or Alaska Native,2012,All ages,7.9,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: American Indian or Alaska Native,2013,All ages,7.2,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: American Indian or Alaska Native,2014,All ages,9.7,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: American Indian or Alaska Native,2015,All ages,9.3,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: American Indian or Alaska Native,2016,All ages,10.2,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: American Indian or Alaska Native,2017,All ages,11.9,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: American Indian or Alaska Native,2018,All ages,11.7,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: Asian or Pacific Islander,1999,All ages,,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: Asian or Pacific Islander,2000,All ages,0.5,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: Asian or Pacific Islander,2001,All ages,0.4,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: Asian or Pacific Islander,2002,All ages,0.8,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: Asian or Pacific Islander,2003,All ages,0.5,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: Asian or Pacific Islander,2004,All ages,0.7,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: Asian or Pacific Islander,2005,All ages,0.9,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: Asian or Pacific Islander,2006,All ages,0.8,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: Asian or Pacific Islander,2007,All ages,0.7,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: Asian or Pacific Islander,2008,All ages,0.7,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: Asian or Pacific Islander,2009,All ages,0.9,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: Asian or Pacific Islander,2010,All ages,0.9,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: Asian or Pacific Islander,2011,All ages,1.3,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: Asian or Pacific Islander,2012,All ages,1.1,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: Asian or Pacific Islander,2013,All ages,1.3,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: Asian or Pacific Islander,2014,All ages,1.4,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: Asian or Pacific Islander,2015,All ages,1.7,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: Asian or Pacific Islander,2016,All ages,2.3,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: Asian or Pacific Islander,2017,All ages,2.4,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Male: Asian or Pacific Islander,2018,All ages,2.5,Male,Opioid,0
Drug overdose deaths involving any opioid,1,Female: White,1999,All ages,1.5,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female: White,2000,All ages,1.7,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female: White,2001,All ages,2.1,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female: White,2002,All ages,2.8,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female: White,2003,All ages,3.1,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female: White,2004,All ages,3.5,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female: White,2005,All ages,3.8,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female: White,2006,All ages,4.4,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female: White,2007,All ages,4.9,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female: White,2008,All ages,5.0,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female: White,2009,All ages,5.3,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female: White,2010,All ages,5.6,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female: White,2011,All ages,6.1,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female: White,2012,All ages,6.1,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female: White,2013,All ages,6.6,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female: White,2014,All ages,7.4,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female: White,2015,All ages,8.2,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female: White,2016,All ages,9.7,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female: White,2017,All ages,10.7,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female: White,2018,All ages,10.2,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female: Black or African American,1999,All ages,1.5,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female: Black or African American,2000,All ages,1.5,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female: Black or African American,2001,All ages,1.6,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female: Black or African American,2002,All ages,2.0,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female: Black or African American,2003,All ages,2.0,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female: Black or African American,2004,All ages,2.0,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female: Black or African American,2005,All ages,2.1,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female: Black or African American,2006,All ages,2.4,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female: Black or African American,2007,All ages,2.4,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female: Black or African American,2008,All ages,2.3,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female: Black or African American,2009,All ages,2.4,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female: Black or African American,2010,All ages,2.5,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female: Black or African American,2011,All ages,2.6,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female: Black or African American,2012,All ages,2.8,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female: Black or African American,2013,All ages,3.0,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female: Black or African American,2014,All ages,3.6,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female: Black or African American,2015,All ages,4.0,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female: Black or African American,2016,All ages,5.9,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female: Black or African American,2017,All ages,6.9,Female,Opioid,0
Drug overdose deaths involving any opioid,1,Female: Black or African American,2018,All ages,7.4,Female,Opioid,0
